Orden,DNI,Apellido_Paterno,Apellido_Materno,Nombres,Edad,Direccion,Celular,Correo,Ingreso_Anual,Genero,Estado_Civil,Nivel_Educativo,Ocupacion,Fecha_Nacimiento,Nacionalidad,Provincia,Distrito,Centro_Medico,Tipo_Seguro,Fecha_Registro,Historial_Medico,Medicamentos_Recetados,Citas_Anuales,Peso,Altura,IMC,Presion_Arterial,Frecuencia_Cardiaca,Frecuencia_Respiratoria,Temperatura,Grupo_Sanguineo,Factor_RH,Alergias,Cirugias,Vacunas_Al_Dia,Pruebas_Laboratorio,Ultima_Visita,Dias_Hospitalizacion,Horas_Ejercicio_Semanal,Consumo_Alcohol,Tabaquismo,Dieta_Saludable,Nivel_Estres,Nivel_Satisfaccion,Costo_Citas_Anuales,Costo_Tratamiento,Costo_Medicamentos,Satisfaccion_Servicio
1,13420514,Sullivan,Reynolds,Patricia,58,"495 Jessica Place
North Melissabury, GA 25279",+51 919832887,jaclyn01@example.net,29809,Femenino,Casado,Técnico,Market researcher,1960-07-09,Liberia,Wyoming,Jimeneztown,Clínica Salud,Privado,2024-08-24,Cardiopatía,5,9,62.5,1.74,19.2,138/68,98,15,38.9,O,-,Ninguna,3,No,1,2024-08-11,13,5,Ocasional,No,Sí,10,8,1155,8366,4912,4
2,72579413,Sloan,Campbell,Norma,25,"668 Hart Streets
West Danielbury, HI 53078",+51 982160068,christophermccormick@example.org,10927,Femenino,Viudo,Técnico,Magazine features editor,1971-05-23,Russian Federation,Pennsylvania,Wayneburgh,Hospital Central,Privado,2024-11-22,Cardiopatía,0,5,52.0,1.56,20.0,121/62,62,16,37.6,A,-,Alimentos,0,No,4,2024-05-04,15,10,Frecuente,Sí,No,8,6,1525,3177,3451,1
3,50973266,King,Mccormick,Angela,19,"53609 Krystal Drives
Sheilachester, VI 45308",+51 938609087,tmoody@example.org,45005,Femenino,Casado,Técnico,Theatre stage manager,1989-01-12,Germany,Vermont,East Donnaport,Hospital Central,Mixto,2021-03-02,Cardiopatía,4,4,85.3,1.93,34.1,128/83,60,13,38.0,O,-,Polen,0,No,4,2024-02-07,10,1,Ninguno,Sí,No,6,7,1264,6356,1085,3
4,17215773,Martinez,Barron,Jeremy,65,"79187 Smith Route Suite 212
East Robert, CA 69713",+51 977898694,debralong@example.net,18295,Masculino,Soltero,Universitario,Orthoptist,1991-01-10,Zimbabwe,Montana,South Stephanie,Centro Médico Familiar,Público,2022-06-26,Cardiopatía,0,1,78.0,1.66,35.2,113/78,76,12,36.4,O,+,Ninguna,1,Sí,7,2024-06-01,9,10,Ninguno,No,Sí,2,1,924,7919,2397,1
5,32483100,Richardson,Larson,Marcus,35,"6090 Vaughan Corner Suite 636
Jenniferburgh, PA 24004",+51 945594597,rreid@example.net,27977,Femenino,Casado,Universitario,"Designer, blown glass/stained glass",1947-01-08,Serbia,Kansas,North Dwayneburgh,Hospital Central,Público,2024-05-22,Hipertensión,5,10,77.1,1.71,18.9,120/78,92,20,36.7,A,+,Polen,2,Sí,7,2024-03-30,3,10,Ninguno,Sí,No,5,9,1810,6157,4922,3
6,46838702,Jones,Jones,Amber,33,"965 James Skyway
South Pamela, OR 33059",+51 927778019,sabrina72@example.net,12982,Femenino,Casado,Primaria,Multimedia programmer,1988-06-22,Iran,Utah,Davidside,Centro Médico Familiar,Privado,2022-08-13,Hipertensión,5,9,74.5,1.6,29.2,117/87,99,17,38.5,AB,+,Medicamentos,3,No,3,2024-10-03,7,10,Frecuente,Sí,Sí,8,6,1440,4014,3785,2
7,59490805,Gilbert,Campbell,Marcia,32,"83913 Mack Circles Apt. 981
North Randyshire, MS 16469",+51 956843172,brittany65@example.com,13573,Masculino,Casado,Universitario,Company secretary,1968-11-01,Somalia,New York,Lake Paulville,Centro Médico Familiar,Privado,2022-06-25,Hipertensión,4,9,78.3,1.6,32.5,106/80,84,18,37.7,B,+,Polen,1,Sí,2,2024-01-13,12,10,Frecuente,No,Sí,5,9,1382,1121,1812,4
8,90948670,Bautista,Johnson,Tracy,26,"Unit 9371 Box 5552
DPO AE 74219",+51 919233013,qhickman@example.net,46264,Masculino,Divorciado,Técnico,TEFL teacher,1966-10-05,Maldives,Montana,Kellyton,Clínica Salud,Privado,2022-02-03,Diabetes,0,4,77.2,1.53,18.5,133/75,79,14,36.2,B,+,Ninguna,2,No,4,2024-09-29,12,5,Frecuente,Sí,No,4,2,1671,3689,865,4
9,11409344,Richardson,Howard,Donna,65,"0857 Jennifer Pines Suite 930
East Kayla, WA 36646",+51 942787299,michellesullivan@example.org,29145,Femenino,Soltero,Secundaria,Sports administrator,1991-08-12,Swaziland,New Hampshire,New Darinchester,Hospital Central,Mixto,2022-10-30,Ninguno,5,10,66.2,1.79,19.3,134/86,85,20,37.0,AB,+,Polen,1,No,4,2024-02-10,12,8,Ocasional,No,Sí,10,7,1915,5105,2891,4
10,40899925,Weaver,Harris,Allison,24,"8829 Wilson Harbors Apt. 398
Hendersonbury, PR 07089",+51 959597086,samuel82@example.com,18275,Masculino,Viudo,Técnico,Therapeutic radiographer,1994-10-05,Brunei Darussalam,North Carolina,Lake Bryanchester,Hospital Central,Público,2024-08-14,Cardiopatía,4,3,73.4,1.99,26.9,97/71,83,20,38.9,O,+,Ninguna,0,Sí,9,2024-09-04,15,8,Ocasional,Sí,Sí,8,8,1734,7812,2039,4
11,39365110,Morgan,Davis,James,61,"6916 Mary Mews Suite 630
Cruzview, AK 52620",+51 948250360,fergusonrichard@example.org,42170,Masculino,Viudo,Técnico,Museum/gallery curator,1992-02-27,Central African Republic,Missouri,Smithmouth,Centro Médico Familiar,Mixto,2022-04-17,Hipertensión,0,1,93.4,1.76,21.8,122/83,68,16,37.9,O,+,Ninguna,1,Sí,1,2024-10-09,11,8,Ocasional,Sí,No,5,1,1029,2527,1073,1
12,94516714,Miranda,Henderson,Rodney,65,"8153 Gregory Motorway
Dixonchester, WV 56914",+51 931172421,fsalazar@example.net,16723,Masculino,Divorciado,Universitario,Travel agency manager,1986-09-05,Guinea,Colorado,Bankston,Clínica Salud,Mixto,2024-07-30,Diabetes,5,6,79.9,1.54,25.6,126/60,95,15,36.6,AB,-,Alimentos,2,Sí,3,2024-09-24,9,6,Frecuente,Sí,Sí,3,5,1739,8977,866,5
13,41144528,Martin,Perez,Tara,75,"33799 Gregory Avenue Apt. 692
Joshuabury, AK 29730",+51 968812137,thomas20@example.org,10803,Femenino,Casado,Primaria,Insurance underwriter,1970-04-07,Bangladesh,California,Port Amy,Hospital Central,Público,2020-10-16,Ninguno,0,4,93.0,1.86,26.9,106/65,62,13,36.2,O,-,Polen,2,No,10,2024-02-29,10,3,Ninguno,No,Sí,10,7,714,6481,2150,1
14,19884146,Stanton,Jones,Barbara,52,"734 Sandra Station
Danielville, NY 52692",+51 982909480,butlermatthew@example.com,47621,Femenino,Soltero,Secundaria,Advertising art director,2001-07-18,Nepal,Oregon,Charlesmouth,Clínica Salud,Mixto,2023-02-27,Cardiopatía,2,1,58.0,1.8,18.6,127/61,97,20,36.6,AB,+,Polen,1,No,4,2024-10-03,2,6,Ninguno,Sí,Sí,3,9,1272,3427,4498,1
15,27967341,Becker,Patton,Elizabeth,23,"858 King Lakes Suite 844
Dylanfort, AR 81808",+51 950603163,rhondacook@example.org,28634,Femenino,Soltero,Secundaria,"Embryologist, clinical",1976-08-08,Botswana,Ohio,North Michealport,Centro Médico Familiar,Privado,2020-11-13,Cardiopatía,4,3,76.6,1.89,33.7,99/70,71,20,37.4,O,-,Alimentos,2,No,2,2024-01-04,6,7,Ocasional,No,No,6,7,1034,1688,2075,2
16,10146865,Mcdonald,Carroll,Jacob,55,"Unit 4347 Box 9775
DPO AE 55096",+51 992097999,drewtran@example.net,40762,Femenino,Viudo,Primaria,"Therapist, music",2006-05-19,Marshall Islands,Idaho,Port Jackhaven,Hospital Central,Mixto,2022-05-02,Ninguno,0,2,72.5,1.85,35.1,119/88,76,16,38.1,O,+,Polen,0,Sí,1,2024-01-20,5,7,Ocasional,No,Sí,1,2,541,3299,461,4
17,54608966,Doyle,Tran,Regina,45,"37905 Mark Green
North Cynthiatown, TN 54930",+51 997775215,morgan76@example.org,41373,Femenino,Divorciado,Técnico,Consulting civil engineer,1960-03-15,Pakistan,Connecticut,Michaeltown,Clínica Salud,Mixto,2023-08-09,Ninguno,2,5,91.0,1.71,28.8,134/64,70,20,37.4,A,-,Medicamentos,0,No,3,2024-09-09,8,4,Ninguno,Sí,Sí,2,2,1230,4932,3999,1
18,81241212,Hernandez,Davis,Denise,20,"USNS James
FPO AE 89842",+51 980993218,sjohnson@example.com,38866,Femenino,Divorciado,Universitario,"Merchandiser, retail",1961-10-30,United States Virgin Islands,New Jersey,Douglasborough,Hospital Central,Público,2022-09-13,Ninguno,5,7,77.1,1.92,27.2,112/65,92,17,38.1,AB,-,Alimentos,2,No,8,2024-06-13,4,7,Ocasional,Sí,No,1,2,1957,9401,2369,1
19,21795034,Walter,Hansen,Thomas,19,"119 Lisa Isle
Mariaburgh, ID 65798",+51 911049999,smithcindy@example.com,32328,Masculino,Divorciado,Técnico,"Sales professional, IT",1989-12-25,Czech Republic,Illinois,Lake Angela,Hospital Central,Mixto,2020-07-20,Diabetes,2,6,72.7,1.63,34.1,93/68,91,14,38.6,B,+,Alimentos,0,No,8,2024-03-22,13,2,Ocasional,No,No,6,5,1223,9115,4532,2
20,66548464,Morris,Kelly,Ernest,23,"693 Jones Forest
Lake Zoehaven, DC 47034",+51 999639081,richardsawyer@example.com,22082,Masculino,Divorciado,Secundaria,Chief of Staff,1974-03-21,Lithuania,Illinois,Torrestown,Clínica Salud,Mixto,2021-06-21,Hipertensión,4,7,88.8,1.79,36.0,113/73,81,12,37.7,O,-,Medicamentos,2,Sí,2,2024-04-14,14,2,Ocasional,Sí,Sí,9,6,458,5552,1468,1
21,99234105,Beck,Smith,Timothy,31,"4546 Jason Inlet Apt. 785
New Vincent, FL 49261",+51 984437458,clintonchaney@example.org,13367,Masculino,Soltero,Secundaria,Animal nutritionist,2001-06-28,Eritrea,Colorado,Wellston,Hospital Central,Privado,2020-11-01,Cardiopatía,0,7,75.3,1.81,20.0,130/89,89,12,37.0,B,+,Alimentos,1,No,0,2024-10-06,15,6,Ninguno,No,Sí,8,8,1848,4313,152,5
22,63957569,Mendoza,Hernandez,William,32,"7801 Morris Via
North Stacy, NH 16829",+51 950181935,lcrawford@example.org,26546,Femenino,Casado,Técnico,Retail manager,1976-07-15,Maldives,New Jersey,Martinezfort,Centro Médico Familiar,Mixto,2024-08-17,Hipertensión,2,10,86.7,1.96,23.4,112/61,68,20,36.9,B,+,Ninguna,3,No,9,2024-04-03,8,4,Frecuente,Sí,Sí,6,7,274,3957,4110,2
23,29918714,Grimes,Hudson,Casey,50,"51165 Stewart Common
Scottmouth, VA 30015",+51 999038526,eatontara@example.com,41308,Femenino,Viudo,Secundaria,Landscape architect,1999-11-02,Guernsey,Vermont,Jenniferside,Hospital Central,Privado,2020-06-05,Ninguno,3,4,94.1,1.81,26.8,108/69,65,16,37.0,B,+,Medicamentos,2,No,0,2024-04-23,3,0,Frecuente,No,Sí,3,9,623,7846,1872,3
24,62786014,Harmon,Moore,Ashley,56,"6100 Claire Tunnel
Port Annmouth, CA 46575",+51 923903144,whitney25@example.net,17476,Masculino,Soltero,Universitario,Graphic designer,1968-05-24,Rwanda,Hawaii,West Michael,Hospital Central,Público,2021-08-17,Cardiopatía,3,9,81.0,1.75,33.3,123/80,80,15,36.3,A,-,Ninguna,1,Sí,8,2024-07-30,13,8,Ocasional,No,Sí,6,4,350,1629,3473,4
25,99080228,Hoffman,Raymond,Ann,19,"871 Nguyen Branch
North Elizabeth, RI 24163",+51 928024248,lanetina@example.org,14282,Femenino,Divorciado,Secundaria,"Secretary, company",1966-11-26,Sierra Leone,Nebraska,New Sandra,Clínica Salud,Mixto,2021-03-28,Cardiopatía,3,1,68.2,1.86,35.3,94/76,93,16,38.6,A,-,Polen,0,No,8,2024-08-29,11,5,Ocasional,Sí,No,7,3,1428,1151,2809,4
26,18288474,Fitzpatrick,Taylor,Robert,53,"790 Corey Port Apt. 547
Deanfurt, WA 32450",+51 945496015,jamie01@example.net,36260,Femenino,Divorciado,Universitario,Accounting technician,1982-11-09,Saint Lucia,New Mexico,Port Brooke,Clínica Salud,Público,2021-12-08,Hipertensión,5,2,81.0,1.75,21.1,102/84,87,18,38.7,AB,+,Ninguna,3,Sí,3,2024-01-07,5,7,Frecuente,No,Sí,9,2,952,6910,919,5
